year,id,country,alcohol,fatrate,pedrate,nofault,lpopdensity,popdensity,education,ymalerate,income,raterestrict,m_alcohol,m_fatrate,m_popdensity,lm_popdensity,m_education,m_ymalerate,m_income
2005,1,Australia,10.5,7.975490196,1.102941177,1,-1.3259691724,0.265545475,31.69,7.067453041,28055.24397,1,10.58333333,7.144237354,0.277358424,-1.2824446598,34.84333333,7.14119442,31017.63623
2006,1,Australia,10.8,7.738756582,1.106226752,1,-1.3113220666,0.269463572,33.02,7.095007579,29466.03648,1,10.58333333,7.144237354,0.277358424,-1.2824446598,34.84333333,7.14119442,31017.63623
2007,1,Australia,10.8,7.627884844,0.970735189,1,-1.296267605,0.27355089,33.73,7.144228923,31092.72087,1,10.58333333,7.144237354,0.277358424,-1.2824446598,34.84333333,7.14119442,31017.63623
2008,1,Australia,10.6,6.612368857,0.869685257,1,-1.2627182462,0.282884032,36.14,7.186220528,31528.57312,1,10.58333333,7.144237354,0.277358424,-1.2824446598,34.84333333,7.14119442,31017.63623
2009,1,Australia,10.5,6.774325325,0.88321177,1,-1.2520407304,0.285920714,36.88,7.214641342,32445.59457,1,10.58333333,7.144237354,0.277358424,-1.2824446598,34.84333333,7.14119442,31017.63623
2010,1,Australia,10.3,6.136598318,0.780691502,1,-1.2490194811,0.286785858,37.6,7.139615105,33517.64839,1,10.58333333,7.144237354,0.277358424,-1.2824446598,34.84333333,7.14119442,31017.63623
2005,2,Austria,12.6,9.364301697,1.182730813,0,2.2972780092,9.947069739,17.75,6.27125409,28079.56324,0,12.56666667,8.146650789,10.06423752,2.3089883006,18.21833333,6.238580077,31816.36032
2006,2,Austria,12.9,8.843877456,1.332639069,0,2.3037121716,10.01127714,17.6,6.26355649,30625.84707,0,12.56666667,8.146650789,10.06423752,2.3089883006,18.21833333,6.238580077,31816.36032
2007,2,Austria,12.9,8.342404138,1.303877926,0,2.3071814266,10.04606913,17.58,6.243250641,31843.58288,0,12.56666667,8.146650789,10.06423752,2.3089883006,18.21833333,6.238580077,31816.36032
2008,2,Austria,12.4,8.162439028,1.226169044,0,2.3114711468,10.08925652,18.06,6.232836899,33636.6974,0,12.56666667,8.146650789,10.06423752,2.3089883006,18.21833333,6.238580077,31816.36032
2009,2,Austria,12.1,7.576065856,1.208819355,0,2.3158694173,10.13372953,19.04,6.223118786,32648.04653,0,12.56666667,8.146650789,10.06423752,2.3089883006,18.21833333,6.238580077,31816.36032
2010,2,Austria,12.5,6.590816557,1.170108737,0,2.3182638405,10.15802304,19.28,6.197463554,34064.42481,0,12.56666667,8.146650789,10.06423752,2.3089883006,18.21833333,6.238580077,31816.36032
2005,3,Belgium,10.9,10.42519078,1.033903218,0,3.5408877192,34.49752972,31.04,6.119918463,27365.18241,0,10.56666667,9.347036087,35.11757981,3.5587018544,32.59333333,6.128945815,30135.12065
2006,3,Belgium,10.7,10.16992818,1.160646621,0,3.5471414276,34.7139432,31.75,6.122899594,29089.30069,0,10.56666667,9.347036087,35.11757981,3.5587018544,32.59333333,6.128945815,30135.12065
2007,3,Belgium,10.2,10.1185371,0.982565694,0,3.5540766364,34.9555284,32.09,6.129412651,30251.67412,0,10.56666667,9.347036087,35.11757981,3.5587018544,32.59333333,6.128945815,30135.12065
2008,3,Belgium,10.6,8.849834619,0.928107656,0,3.561825059,35.22743065,32.31,6.135414011,31447.47015,0,10.56666667,9.347036087,35.11757981,3.5587018544,32.59333333,6.128945815,30135.12065
2009,3,Belgium,10.4,8.769580437,0.957865095,0,3.5698749827,35.51215324,33.39,6.129918149,30303.96107,0,10.56666667,9.347036087,35.11757981,3.5587018544,32.59333333,6.128945815,30135.12065
2010,3,Belgium,10.6,7.749145403,0.977868349,0,3.5779169896,35.79889366,34.98,6.136112019,32353.13548,0,10.56666667,9.347036087,35.11757981,3.5587018544,32.59333333,6.128945815,30135.12065
2005,4,Canada,7.8,8.988174688,1.060716268,1,-1.0368648255,0.354564563,45.94,7.011670881,29994.80848,1,8.083333333,7.791343774,0.363959965,-1.0107114037,48.32,6.986768766,31801.99096
2006,4,Canada,8,8.854637041,1.154418699,1,-1.0267389401,0.358173082,46.91,7.029497419,31545.74507,1,8.083333333,7.791343774,0.363959965,-1.0107114037,48.32,6.986768766,31801.99096
2007,4,Canada,8.1,8.395177708,1.143276646,1,-1.0170404049,0.361663736,48.22,7.025649062,32616.2712,1,8.083333333,7.791343774,0.363959965,-1.0107114037,48.32,6.986768766,31801.99096
2008,4,Canada,8.2,7.321231484,0.917409861,1,-1.0062184345,0.365598905,48.76,6.994863985,33032.93053,1,8.083333333,7.791343774,0.363959965,-1.0107114037,48.32,6.986768766,31801.99096
2009,4,Canada,8.2,6.610450382,0.942650819,1,-0.9947700317,0.369808479,49.5,6.954708583,31179.76281,1,8.083333333,7.791343774,0.363959965,-1.0107114037,48.32,6.986768766,31801.99096
2010,4,Canada,8.2,6.57839134,0.896919696,1,-0.983630434,0.373951027,50.59,6.904222665,32442.42764,1,8.083333333,7.791343774,0.363959965,-1.0107114037,48.32,6.986768766,31801.99096
2005,5,Czech Republic,12,12.58245987,2.915686658,0,2.5822674453,13.2270959,13.05,6.792895118,16435.27087,0,11.93333333,10.23943592,13.39768129,2.5950816539,14.515,6.61793736,18636.02021
2006,5,Czech Republic,11.9,10.36964011,1.970524274,0,2.5852473726,13.26657047,13.52,6.727432999,17902.79955,0,11.93333333,10.23943592,13.39768129,2.5950816539,14.515,6.61793736,18636.02021
2007,5,Czech Republic,12.1,11.87885243,2.284394697,0,2.5887637384,13.3133027,13.73,6.685902609,19140.25467,0,11.93333333,10.23943592,13.39768129,2.5950816539,14.515,6.61793736,18636.02021
2008,5,Czech Republic,12.1,10.36496027,2.292621324,0,2.5978541389,13.4348777,14.49,6.642153314,20086.97973,0,11.93333333,10.23943592,13.39768129,2.5950816539,14.515,6.61793736,18636.02021
2009,5,Czech Republic,12.1,8.6075604,1.681388047,0,2.6061436352,13.54670894,15.54,6.531179079,19263.57354,0,11.93333333,10.23943592,13.39768129,2.5950816539,14.515,6.61793736,18636.02021
2010,5,Czech Republic,11.4,7.633142419,1.598962502,0,2.6098883079,13.59753203,16.76,6.328061043,18987.24289,0,11.93333333,10.23943592,13.39768129,2.5950816539,14.515,6.61793736,18636.02021
2005,6,Denmark,12.7,6.11671091,0.813097523,0,2.5458232901,12.75372378,33.54,5.65978132,28384.05425,0,11.38333333,6.121266751,12.8870799,2.5562252513,32.71,5.972076287,32067.94331
2006,6,Denmark,12.2,5.63799745,1.105489696,0,2.5487855956,12.79156022,34.71,5.751616942,31066.62702,0,11.38333333,6.121266751,12.8870799,2.5562252513,32.71,5.972076287,32067.94331
2007,6,Denmark,12.1,7.453529265,1.24837436,0,2.5523949465,12.83781287,30.9,5.881803635,32021.00192,0,11.38333333,6.121266751,12.8870799,2.5562252513,32.71,5.972076287,32067.94331
2008,6,Denmark,10.9,7.414453912,1.059207702,0,2.5576512672,12.90547019,31.41,6.034289588,33683.92063,0,11.38333333,6.121266751,12.8870799,2.5562252513,32.71,5.972076287,32067.94331
2009,6,Denmark,10.1,5.497644813,0.943490199,0,2.5641424543,12.98951449,32.44,6.185228787,32318.18777,0,11.38333333,6.121266751,12.8870799,2.5562252513,32.71,5.972076287,32067.94331
2010,6,Denmark,10.3,4.607264156,0.794978913,0,2.5683587565,13.04439783,33.26,6.319737447,34933.86826,0,11.38333333,6.121266751,12.8870799,2.5562252513,32.71,5.972076287,32067.94331
2005,7,Finland,10,7.237505326,0.859334405,0,0.5418781093,1.719232739,34.62,6.365649116,26055.1833,0,10.1,6.273784455,1.737164221,0.5522540257,36.34833333,6.335607886,29790.46562
2006,7,Finland,10.1,6.393204937,0.932342387,0,0.5454939453,1.725460455,35.14,6.369122568,28348.09489,0,10.1,6.273784455,1.737164221,0.5522540257,36.34833333,6.335607886,29790.46562
2007,7,Finland,10.5,7.201122617,0.909615489,0,0.5495528027,1.732478085,36.35,6.360727428,30584.20761,0,10.1,6.273784455,1.737164221,0.5522540257,36.34833333,6.335607886,29790.46562
2008,7,Finland,10.3,6.489973369,0.999908688,0,0.5540017133,1.740202896,36.58,6.335379669,32189.65097,0,10.1,6.273784455,1.737164221,0.5522540257,36.34833333,6.335607886,29790.46562
2009,7,Finland,10,5.238144052,0.563241296,0,0.5588630178,1.748683148,37.26,6.303019178,30363.38341,0,10.1,6.273784455,1.737164221,0.5522540257,36.34833333,6.335607886,29790.46562
2010,7,Finland,9.7,5.082756431,0.654031158,0,0.5635668306,1.756928002,38.14,6.279749358,31202.27354,0,10.1,6.273784455,1.737164221,0.5522540257,36.34833333,6.335607886,29790.46562
2005,8,France,12.7,8.723286207,1.041610895,0,2.4097687236,11.13138642,25.42,6.56871113,26315.98172,0,12.48333333,7.32391482,11.30620158,2.4253513876,27.175,6.38089845,29106.15586
2006,8,France,12.9,7.669414458,0.871339294,0,2.416902757,11.21108204,26.18,6.516657824,27995.02783,0,12.48333333,7.32391482,11.30620158,2.4253513876,27.175,6.38089845,29106.15586
